difficulty,daysUntilDeadline,daysSinceCreation,status,assigneeCount,assigneeLoad,statusChangesCount,plannedDurationDays,actualCompletionDays,isDelayed
2,16,20,new,0,0,7,36,77,1
4,-5,12,cancelled,1,1,7,7,13,1
3,44,11,done,1,8,1,55,93,1
4,-20,40,review,1,6,7,20,30,1
5,-10,61,in_progress,0,0,4,51,130,1
3,42,10,cancelled,1,9,8,52,80,1
1,-8,15,review,1,12,4,7,9,1
1,-13,37,new,1,8,6,24,37,1
4,-15,31,done,1,9,4,16,20,1
3,35,15,cancelled,1,7,1,50,45,0
5,-12,16,cancelled,1,1,6,4,6,1
2,-13,61,cancelled,0,0,1,48,42,0
5,48,1,cancelled,1,9,3,49,90,1
5,-18,33,in_progress,1,7,3,15,30,1
5,39,6,review,1,11,3,45,97,1
5,37,11,cancelled,1,10,6,48,118,1
5,-15,63,new,1,4,2,48,88,1
5,-10,66,new,0,0,2,56,127,1
1,44,12,review,0,0,4,56,63,1
1,-13,25,cancelled,1,5,3,12,10,0
4,8,46,in_progress,1,9,5,54,143,1
4,30,7,cancelled,1,4,3,37,64,1
2,-4,8,done,1,0,7,4,3,0
2,-15,24,done,1,3,8,9,12,1
5,6,46,done,1,2,3,52,79,1
3,-12,20,in_progress,1,6,0,8,12,1
2,-12,52,new,1,10,7,40,80,1
3,16,27,done,1,11,4,43,79,1
3,10,30,done,0,0,4,40,75,1
4,-13,48,new,0,0,0,35,57,1
2,21,33,cancelled,1,7,3,54,89,1
1,12,22,cancelled,1,4,1,34,18,0
4,18,18,cancelled,1,10,0,36,88,1
3,-7,49,new,0,0,2,42,50,1
1,0,3,done,1,6,8,3,5,1
2,21,36,in_progress,1,10,1,57,68,1
5,20,8,done,1,3,1,28,41,1
1,2,33,in_progress,1,6,4,35,62,1
3,-16,24,review,1,10,8,8,10,1
3,-10,63,cancelled,1,8,4,53,107,1
4,16,43,cancelled,1,9,5,59,143,1
1,9,47,cancelled,1,7,1,56,44,0
1,39,5,in_progress,0,0,1,44,51,1
5,25,30,done,1,9,2,55,90,1
3,-14,22,new,1,3,4,8,13,1
3,8,31,in_progress,1,3,1,39,43,1
4,28,22,cancelled,1,2,7,50,76,1
5,13,23,review,0,0,2,36,87,1
3,-11,54,cancelled,1,1,1,43,46,1
3,27,8,new,1,5,4,35,48,1
2,-2,62,in_progress,1,6,7,60,72,1
2,-4,59,review,0,0,5,55,64,1
1,5,8,done,1,5,8,13,15,1
2,26,1,in_progress,1,1,3,27,20,0
3,38,4,done,1,11,5,42,78,1
3,-7,12,cancelled,1,6,1,5,8,1
4,14,39,review,1,12,0,53,108,1
1,-10,34,cancelled,1,0,1,24,22,0
2,7,14,done,1,2,3,21,12,0
2,17,11,cancelled,1,6,1,28,25,0
1,-17,76,cancelled,0,0,8,59,108,1
2,-5,30,cancelled,1,4,5,25,17,0
1,-18,54,done,1,6,6,36,53,1
1,-18,73,cancelled,1,12,7,55,70,1
5,7,23,in_progress,1,8,7,30,62,1
5,1,57,review,1,3,7,58,54,0
3,28,7,done,1,11,0,35,72,1
5,10,26,done,1,0,0,36,57,1
4,8,27,new,1,9,0,35,50,1
5,6,25,done,1,3,7,31,39,1
3,-8,22,new,0,0,2,14,16,1
1,35,2,review,1,11,1,37,43,1
1,-3,57,done,0,0,5,54,61,1
2,-17,33,new,1,5,4,16,24,1
3,27,4,new,1,7,0,31,49,1
4,37,14,new,1,7,6,51,87,1
4,14,31,done,1,2,6,45,72,1
4,19,13,in_progress,0,0,7,32,75,1
3,10,19,in_progress,1,8,7,29,45,1
